schemaVersion,recordType,source_name,source_url,company,title,date,is_remote,role_family,collectedAt
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/oper/ai-native-business-analyst-dach-mannheim-198122,Oper,AI-Native Business Analyst - DACH,2026-08-10T16:00:32+00:00,True,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/rockstardevelopers-gmbh/solution-architect-aws-plattform-cloud-security-stuttgart-12120,Rockstardevelopers GmbH,Solution Architect - AWS Plattform & Cloud Security (m/w/d),2026-08-10T15:00:24+00:00,True,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/unframe/ai-transformation-architect-emea-158407,Unframe,AI Transformation Architect EMEA,2026-08-10T14:55:33+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/veeamsoftware/remote-senior-sales-engineer-174596,Veeamsoftware,Senior Sales Engineer,2026-08-10T14:55:23+00:00,True,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/taxfix/programme-manager-office-of-the-cfo-berlin-397898,Taxfix,Programme Manager (d/f/m) - Office of the CFO,2026-08-10T14:40:11+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/wakeline-gmbh/software-engineer-dusseldorf-255527,Wakeline GmbH,Software Engineer,2026-08-10T14:30:43+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/1komma50/praktikantin-sales-marketing-berlin-118974,1KOMMA5˚,Praktikant:in (m/w/d) - Sales/Marketing,2026-08-10T14:30:40+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/kickdown-gmbh/working-student-product-engineering-ruby-on-rails-for-auction-platform-kickdown-all-genders-hamburg-460221,Kickdown GmbH,Working Student Product Engineering (Ruby on Rails) for Auction Platform Kickdown (all genders),2026-08-10T14:30:39+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/fairtrade-labelling-organizations-international-ev/project-officer-ec-ffpa-maternity-cover-bonn-452624,Fairtrade Labelling Organizations International e.V.,Project Officer EC-FFPA (maternity cover),2026-08-10T12:18:28+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/id1/remote-ux-designer-design-ki-59228,Id1,UX Designer (m/w/d) – Design & KI,2026-08-10T14:10:02+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/adsquare/staff-backend-engineer-jvm-java-kotlin-aws-berlin-331742,Adsquare,Staff Backend Engineer - JVM (Java/Kotlin) & AWS,2026-08-10T14:10:01+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/tech-advisory-senior-consultant-munchen-142641,Trusteq Gmbh,Tech Advisory Senior Consultant (m/w/d),2026-08-10T14:09:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/digital-ecosystem-working-student-munchen-54862,Trusteq Gmbh,Digital Ecosystem Working Student (m/w/d),2026-08-10T14:09:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/cybersecurity-working-student-munchen-408577,Trusteq Gmbh,Cybersecurity Working Student (m/w/d),2026-08-10T14:09:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/cybersecurity-intern-munchen-101977,Trusteq Gmbh,Cybersecurity Intern (m/w/d),2026-08-10T14:09:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-strategy-senior-consultant-munchen-344795,Trusteq Gmbh,AI Strategy (Senior) Consultant (m/w/d),2026-08-10T14:09:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-security-senior-consultant-munchen-332201,Trusteq Gmbh,AI Security (Senior) Consultant (m/w/d),2026-08-10T14:09:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-governance-senior-consultant-munchen-404845,Trusteq Gmbh,AI Governance (Senior) Consultant (m/w/d),2026-08-10T14:09:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-senior-developer-munchen-489080,Trusteq Gmbh,AI (Senior) Developer (m/w/d),2026-08-10T14:09:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-senior-consultant-munchen-430823,Trusteq Gmbh,AI (Senior) Consultant (m/w/d),2026-08-10T14:09:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/smartly/senior-engineering-manager-ad-performance-recommendation-berlin-242083,Smartly,"Senior Engineering Manager, Ad Performance Recommendation",2026-08-10T13:45:26+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
