schemaVersion,recordType,source_name,source_url,entityName,employeeCount,collectedAt
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/boostable,Boostable,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/pebble,Pebble,51,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/zoomer,Zoomer,51,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/anchor-health,Anchor Health,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/tomoguides,TomoGuides,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/cognito,Cognito,12,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/justspotted,JustSpotted,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/embark-trucks,Embark Trucks,300,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/govpredict,GovPredict,60,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/embark,Embark,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/comprehend,Comprehend,51,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/pixate,Pixate,10,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/vernox,Vernox,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/padlet,Padlet,65,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/ambition,Ambition,55,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/blockspring,Blockspring,3,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/hyperink,Hyperink,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/ginkgo-bioworks,Ginkgo Bioworks,641,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/hickory,Hickory,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/vinebox,VINEBOX (Usual Beverage Co.),11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/team-apart,Team Apart,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/knowmia,Knowmia,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/interstate,Interstate,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/fivetran,Fivetran,1200,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/bitaccess,Bitaccess,55,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/custora,Custora,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/heroic-labs,Heroic Labs,21,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/youlicit,Youlicit,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/prayas-analytics,Prayas Analytics,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/greentoe,Greentoe,5,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/earbits,Earbits,15,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/plato,Plato,26,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/tovala,Tovala,375,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/opez,Opez,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/styleup,StyleUp,10,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/sourcedna,SourceDNA,6,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/convore,Convore,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/claimspotting,Claimspotting,0,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/compgun,Compgun,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/aptdeco,AptDeco,,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/helion-energy,Helion Energy,150,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/two-tap,Two Tap,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/chatfuel,Chatfuel,53,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/mixrank,MixRank,31,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/flotype,Flotype,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/lawdingo,Lawdingo,,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/hublo,Hublo,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/fobo,Fobo,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/zeromailer,ZeroMailer,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/persistiq,PersistIQ,10,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/bayes-impact,Bayes Impact,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/the-ticket-fairy,The Ticket Fairy,30,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/vizeralabs,VizeraLabs,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/kicksend,Kicksend,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/airmada,Airmada,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/sift,Sift,,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/snipd,Snipd,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/roomblocker,Roomblocker,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/fivestars,Fivestars,201,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/canopy-labs,Canopy Labs,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/bitnami,Bitnami,75,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/getaccept,GetAccept,200,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/zenamins,Zenamins,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/videopixie,Videopixie,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/impraise,Impraise,35,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/vaycayhero,VaycayHero,55,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/apportable,Apportable,51,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/chargehound,Chargehound,13,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/protocol-labs,Protocol Labs,130,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/one-codex,One Codex,16,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/insight-data-science,Insight Data Science,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/branch8,Branch8,15,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/stilt,Stilt,35,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/close,Close,120,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/buildzoom,BuildZoom,100,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/people-and-pages,People & Pages,0,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/kamcord,Kamcord,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/isono-health,iSono Health,9,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/kash,Kash,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/ravti,Ravti,17,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/caviar,Caviar,51,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/cambly,Cambly,200,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/confident-lims,Confident LIMS,17,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/careledger,CareLedger,0,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/launchpad-toys,Launchpad Toys,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/medisas,Medisas,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/lynks,Lynks,40,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/etleap,Etleap,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/interviewed,Interviewed,0,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/statwing,Statwing,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/sliced-investing,Sliced Investing,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/convox,Convox,3,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/lawn-love,Lawn Love,150,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/imgix,Imgix,34,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/boosted,Boosted,51,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/treehouse,Treehouse,101,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/balanced,Balanced,11,2026-08-10T09:46:23.371408+00:00
